N2O,IF_Outlier,LOF_Outlier,OCSVM_Outlier,Elliptic_Outlier,HBOS_Outlier,DBSCAN_Outlier,Mahalanobis_Distance,Mahalanobis_Outlier
15.23550436,1,-1,1,-1,0,5,0.2726349304327229,0
17.3315632,-1,1,1,-1,0,6,0.3462111705596748,0
18.43485321,-1,1,1,-1,0,6,0.384939057943517,0
14.46447557,1,1,1,-1,0,4,0.24557013706183015,0
18.99873405,-1,1,1,-1,0,6,0.4047325061497836,0
17.14349605,-1,1,1,-1,0,6,0.33960960312066546,0
21.01166871,-1,1,1,-1,0,7,0.4753909061324979,0
18.13762551,-1,1,1,-1,0,6,0.3745057169464763,0
3.964016822,1,1,1,1,0,0,0.1230188832187265,0
5.770278073,1,1,1,1,0,0,0.059615170975808526,0
5.805116134,1,1,1,1,0,0,0.05839227899740709,0
4.455109782,1,1,1,1,0,0,0.10578044846676335,0
3.213254504,1,1,1,1,0,0,0.14937227918896318,0
